G100-1-1.graph: 4 components, Alt1: 0.00014983099999998917 seconds, Alt2: 0.0007354980000000011 seconds
G100-1-2.graph: 4 components, Alt1: 0.00012779600000001334 seconds, Alt2: 0.0007155009999999518 seconds
G100-1-3.graph: 2 components, Alt1: 6.198199999996046e-05 seconds, Alt2: 0.00032583899999999444 seconds
G100-1-4.graph: 8 components, Alt1: 0.00010108599999997248 seconds, Alt2: 0.0005160409999999671 seconds
G100-1-5.graph: 3 components, Alt1: 0.00012680700000000655 seconds, Alt2: 0.0005331090000000316 seconds
G100-1-6.graph: 3 components, Alt1: 0.0001395839999999704 seconds, Alt2: 0.0005630830000000198 seconds
G100-1-7.graph: 5 components, Alt1: 0.00013778100000000348 seconds, Alt2: 0.0005609270000000444 seconds
G100-1-8.graph: 2 components, Alt1: 0.00011313199999996026 seconds, Alt2: 0.0006106869999999986 seconds
G100-1-9.graph: 4 components, Alt1: 0.00010957299999997394 seconds, Alt2: 0.0005400599999999534 seconds
G100-1-10.graph: 4 components, Alt1: 6.950599999999696e-05 seconds, Alt2: 0.0005256299999999992 seconds
G100-2-1.graph: 1 components, Alt1: 0.00010671499999997947 seconds, Alt2: 0.0005059089999999711 seconds
G100-2-2.graph: 1 components, Alt1: 9.490000000000887e-05 seconds, Alt2: 0.0004778039999999706 seconds
G100-2-3.graph: 1 components, Alt1: 9.718100000000174e-05 seconds, Alt2: 0.00044165400000001354 seconds
G100-2-4.graph: 1 components, Alt1: 0.00017134600000001665 seconds, Alt2: 0.0006653079999999756 seconds
G100-2-5.graph: 1 components, Alt1: 0.00010054700000000638 seconds, Alt2: 0.00043449699999997815 seconds
G100-2-6.graph: 1 components, Alt1: 9.733700000003065e-05 seconds, Alt2: 0.0004230799999999646 seconds
G100-2-7.graph: 1 components, Alt1: 9.741800000001577e-05 seconds, Alt2: 0.0004401450000000029 seconds
G100-2-8.graph: 1 components, Alt1: 9.780199999998018e-05 seconds, Alt2: 0.00041420100000000293 seconds
G100-2-9.graph: 1 components, Alt1: 0.00010016699999998435 seconds, Alt2: 0.0004372730000000158 seconds
G100-2-10.graph: 1 components, Alt1: 9.867600000001975e-05 seconds, Alt2: 0.0004153080000000031 seconds
G100-5-1.graph: 1 components, Alt1: 0.00016741300000000514 seconds, Alt2: 0.0006953719999999719 seconds
G100-5-2.graph: 1 components, Alt1: 0.000165693999999994 seconds, Alt2: 0.0007891969999999637 seconds
G100-5-3.graph: 1 components, Alt1: 0.00016902799999996 seconds, Alt2: 0.0005847829999999776 seconds
G100-5-4.graph: 1 components, Alt1: 0.0001595120000000283 seconds, Alt2: 0.0005693969999999715 seconds
G100-5-5.graph: 1 components, Alt1: 0.00016964600000002328 seconds, Alt2: 0.0005228119999999836 seconds
G100-5-6.graph: 1 components, Alt1: 0.00014625400000001232 seconds, Alt2: 0.0005229509999999937 seconds
G100-5-7.graph: 1 components, Alt1: 0.00014550299999999128 seconds, Alt2: 0.0005362599999999551 seconds
G100-5-8.graph: 1 components, Alt1: 0.00015077299999999294 seconds, Alt2: 0.000513731999999989 seconds
G100-5-9.graph: 1 components, Alt1: 0.00014945100000002265 seconds, Alt2: 0.0005142760000000357 seconds
G100-5-10.graph: 1 components, Alt1: 0.00015749000000003788 seconds, Alt2: 0.0005186699999999989 seconds
G100-10-1.graph: 1 components, Alt1: 0.0002493949999999856 seconds, Alt2: 0.0007325810000000099 seconds
G100-10-2.graph: 1 components, Alt1: 0.0002442490000000297 seconds, Alt2: 0.0007359789999999977 seconds
G100-10-3.graph: 1 components, Alt1: 0.00024332199999999027 seconds, Alt2: 0.0007354629999999918 seconds
G100-10-4.graph: 1 components, Alt1: 0.0002386910000000131 seconds, Alt2: 0.0007120970000000226 seconds
G100-10-5.graph: 1 components, Alt1: 0.00023965800000003146 seconds, Alt2: 0.0009435850000000245 seconds
G100-10-6.graph: 1 components, Alt1: 0.0002415169999999689 seconds, Alt2: 0.0007748350000000293 seconds
G100-10-7.graph: 1 components, Alt1: 0.00023325000000001817 seconds, Alt2: 0.0008631169999999688 seconds
G100-10-8.graph: 1 components, Alt1: 0.00023813700000002713 seconds, Alt2: 0.0007292729999999747 seconds
G100-10-9.graph: 1 components, Alt1: 0.00023839099999994895 seconds, Alt2: 0.0007355829999999841 seconds
G100-10-10.graph: 1 components, Alt1: 0.00023764900000000644 seconds, Alt2: 0.0007233279999999676 seconds
